,season,episode,rating,title,description,airdate
0,1,1,7.5,Pilot,"The premiere episode introduces the boss and staff of the Dunder-Mifflin Paper Company in Scranton, Pennsylvania in a documentary about the workplace.",2005-03-24
1,1,2,8.3,Diversity Day,"Michael's off color remark puts a sensitivity trainer in the office for a presentation, which prompts Michael to create his own.",2005-03-29
2,1,3,7.8,Health Care,"Michael leaves Dwight in charge of picking the new healthcare plan for the staff, with disastrous results ahead.",2005-04-05
3,1,4,8.1,The Alliance,"Just for a laugh, Jim agrees to an alliance with Dwight regarding the downsizing rumors.",2005-04-12
4,1,5,8.4,Basketball,Michael and his staff challenge the warehouse workers to a basketball game with a bet looming over both parties.,2005-04-19
5,1,6,7.8,Hot Girl,Michael is just one of the many male staff who start vying for the attention of an attractive saleswoman in the office.,2005-04-26
6,2,1,8.7,The Dundies,"Very much unlike his staff, an overeager Michael can't wait for this year's annual Dundies awards.",2005-09-20
7,2,2,8.2,Sexual Harassment,The office reviews its sexual harassment policy in light of explicit e-mails.,2005-09-27
8,2,3,8.4,Office Olympics,"Ready to finalize his deal for a new condo, Michael is away with Dwight while Jim rallies the staff together for office games.",2005-10-04
9,2,4,8.4,The Fire,A fire in the kitchen relegates the staff to the parking lot as help is on its way.,2005-10-11
10,2,5,8.1,Halloween,"Michael is pressured by corporate to fire someone, which puts a damper on the office Halloween party.",2005-10-18
11,2,6,8.2,The Fight,Jim rallies the staff together to witness a showdown between Michael and Dwight at Dwight's martial arts school.,2005-11-01
12,2,7,8.6,The Client,"With Michael and Jan Levinson-Gould away from the office to land a new client, the staff discovers an unproduced screenplay in Michael's office.",2005-11-08
13,2,8,8.2,Performance Review,"Instead of talking to his employees about their work, Michael uses their annual review time to gather feedback on his ""relationship"" with Jan.",2005-11-15
14,2,9,8.4,E-Mail Surveillance,"Michael decides to set up e-mail surveillance for all company e-mail, and discovers that Jim has invited everyone over for a barbeque except him.",2005-11-22
15,2,10,8.9,Christmas Party,"Seeing the party is headed for disastrous boredom, Michael breaks corporate policy to buy alcohol for the staff.",2005-12-06
16,2,11,8.6,Booze Cruise,"The Dunder Mifflin staff go on a mandatory ""booze cruise"" to hear Michael give a motivational talk.",2006-01-05
17,2,12,9.1,The Injury,"Michael's ""injury"" from a George Foreman Grill distracts the staff from Dwight, the one with the real injury.",2006-01-12
18,2,13,8.3,The Secret,"Jim fears the secret he told to Michael, in confidence, will be revealed to the staff.",2006-01-19
19,2,14,7.9,The Carpet,Michael's office becomes the victim of an odorous prank which subjects the office to his punishment.,2006-01-26
20,2,15,8.2,Boys and Girls,"Jan comes into the Scranton Branch to give all the female employees a group seminar on women in the workplace. Upset that he is not allowed in on the proceedings, Michael takes all the men of Dunder Mifflin down into the warehouse for some ""guy time"" with the warehouse workers. Pam is offered a chance to pursue her dreams of drawing and Roy confronts Jim about his feelings for Pam.",2006-02-02
21,2,16,8.3,Valentine's Day,"When Michael visits Dunder Mifflin corporate headquarters in New York on Valentine's Day, he and Jan are both in for a surprise. Meanwhile, back in Scranton, the office staff celebrates Valentine's Day grade school style.",2006-02-09
22,2,17,8.5,Dwight's Speech,Michael coaches pompous Dwight on the finer art of public speaking after being named as Salesman of the Year.,2006-03-02
23,2,18,8.3,Take Your Daughter to Work Day,"A routine office day is changed when children come to Dunder Mifflin for ""Take Your Daughter to Work Day."" Michael is surprised when he strikes up a friendship with the five-year old daughter of his sworn enemy, Toby. Pam is desperate to befriend her colleagues' offspring and a misunderstanding puts Ryan under Stanley's thumb.",2006-03-16
24,2,19,8.1,Michael's Birthday,"In celebration of his birthday, Michael makes a mandatory invite of the staff during the workday to go ice skating.",2006-03-30
25,2,20,8.4,Drug Testing,Dwight plays the role of Volunteer Sheriff after finding half a joint in the Dunder Mifflin parking lot leading to an investigation. Pam gives Jim a play challenge which he tries to complete.,2006-04-27
26,2,21,8.7,Conflict Resolution,"When Michael takes over conflict resolution duties from HR, chaos ensues at Dunder Mifflin.",2006-05-04
27,2,22,9.4,Casino Night,The Dunder Mifflin crew holds a casino party at the warehouse and Michael has two dates.,2006-05-11
28,3,1,9.0,Gay Witch Hunt,"Michael apologizes to Oscar, after he finds out he's gay, for calling him a homosexual slur--but his apology outs Oscar to the entire office. And Jim decides to take a promotion at the Stamford office.",2006-09-21
29,3,2,8.2,The Convention,"Michael and Dwight go to a convention in Philadelphia and run into Jim, and Michael becomes jealous of Jim's relationship with his new boss. Meanwhile, Pam gets ready for her first date since her engagement.",2006-09-28
